Date,Open,High,Low,Close,Volume
27-Nov-13,4.70,5.00,4.62,4.99,273322
26-Nov-13,4.62,4.70,4.57,4.67,257700
25-Nov-13,4.78,4.82,4.60,4.62,359827
22-Nov-13,4.87,4.87,4.75,4.79,94093
21-Nov-13,4.82,4.93,4.81,4.88,107021
20-Nov-13,4.93,4.98,4.79,4.82,205309
19-Nov-13,4.97,5.07,4.90,4.94,98187
18-Nov-13,5.07,5.10,4.95,4.95,129751
15-Nov-13,5.10,5.11,4.92,5.09,132635
14-Nov-13,5.12,5.13,4.98,5.09,110964
13-Nov-13,4.87,5.11,4.84,5.11,153958
12-Nov-13,4.83,4.89,4.77,4.86,165343
11-Nov-13,4.95,5.03,4.80,4.83,434634
8-Nov-13,4.79,4.98,4.79,4.92,133288
7-Nov-13,4.94,5.07,4.75,4.79,204205
6-Nov-13,5.09,5.14,4.83,4.90,228313
5-Nov-13,5.05,5.14,5.00,5.06,146079
4-Nov-13,5.08,5.21,5.01,5.10,197621
1-Nov-13,5.46,5.46,5.03,5.08,478252
31-Oct-13,5.19,5.52,5.00,5.44,432993
30-Oct-13,5.20,5.33,5.15,5.20,415005
29-Oct-13,5.70,5.70,4.91,5.14,709387
28-Oct-13,5.35,5.75,5.30,5.73,329808
25-Oct-13,5.45,5.50,5.30,5.33,115435
24-Oct-13,5.29,5.45,5.28,5.41,142297
23-Oct-13,5.30,5.40,5.26,5.30,145631
22-Oct-13,5.43,5.48,5.30,5.36,168539
21-Oct-13,5.29,5.48,5.10,5.32,411202
18-Oct-13,5.31,5.43,5.25,5.30,145645
17-Oct-13,5.22,5.36,5.16,5.24,216658
16-Oct-13,5.20,5.32,5.16,5.24,168509
15-Oct-13,5.08,5.26,5.02,5.15,206760
14-Oct-13,5.29,5.34,5.05,5.10,276321
11-Oct-13,5.00,5.45,4.97,5.35,381466
10-Oct-13,4.75,4.95,4.70,4.95,288415
9-Oct-13,4.69,4.74,4.53,4.68,520065
8-Oct-13,4.74,4.74,4.60,4.65,405075
