Date,Open,High,Low,Close,Volume
11-Dec-13,41.55,41.55,40.93,41.14,986328
10-Dec-13,40.98,41.55,40.88,41.32,784011
9-Dec-13,40.49,41.22,40.26,41.14,907469
6-Dec-13,40.97,40.99,40.00,40.42,628351
5-Dec-13,39.84,41.20,39.71,40.65,1066692
4-Dec-13,39.24,39.79,39.05,39.57,973640
3-Dec-13,39.60,39.84,39.01,39.29,982472
2-Dec-13,40.88,41.83,39.52,39.61,1585072
29-Nov-13,40.09,40.73,39.78,40.71,440402
27-Nov-13,39.32,40.07,39.19,39.87,1274958
26-Nov-13,38.98,39.93,38.96,39.46,1803771
25-Nov-13,40.86,41.35,39.91,39.97,1952830
22-Nov-13,42.49,42.58,40.03,40.87,10226520
21-Nov-13,49.26,50.89,48.96,50.40,1729978
20-Nov-13,49.33,49.46,48.30,48.96,674089
19-Nov-13,50.18,50.87,48.85,49.43,750093
18-Nov-13,50.62,51.47,50.11,50.34,815219
15-Nov-13,50.76,51.05,50.26,50.62,378508
14-Nov-13,50.33,50.92,49.56,50.82,432841
13-Nov-13,49.98,50.50,49.46,50.20,377507
12-Nov-13,49.46,50.43,49.10,50.27,474764
11-Nov-13,49.37,49.72,48.87,49.68,453384
8-Nov-13,47.88,49.70,47.88,49.32,1389854
7-Nov-13,48.74,48.83,46.98,47.99,2571329
6-Nov-13,50.89,51.90,50.48,51.39,338630
5-Nov-13,50.44,51.36,49.82,50.77,358930
4-Nov-13,50.62,50.88,49.75,50.40,362526
1-Nov-13,51.09,51.31,50.51,50.64,325246
31-Oct-13,51.10,51.19,50.54,50.91,316917
30-Oct-13,52.19,52.43,51.00,51.23,211857
29-Oct-13,52.30,52.58,51.80,52.05,284974
28-Oct-13,52.00,52.86,51.57,51.99,386484
25-Oct-13,52.09,52.47,51.77,51.97,244492
24-Oct-13,51.99,52.25,51.70,52.17,226741
23-Oct-13,51.95,52.38,51.49,51.82,214730
22-Oct-13,52.28,52.58,51.83,51.94,378938
21-Oct-13,52.97,53.22,52.07,52.21,402845
18-Oct-13,53.06,53.46,52.81,53.02,602505
17-Oct-13,53.00,53.22,52.38,52.98,426965
16-Oct-13,53.43,53.76,52.82,53.06,630202
15-Oct-13,52.28,52.91,51.91,52.60,530231
14-Oct-13,52.12,52.34,51.55,52.14,392319
11-Oct-13,51.00,52.28,50.40,52.27,496647
10-Oct-13,50.30,51.40,50.05,51.15,544855
9-Oct-13,50.50,50.70,49.53,50.06,545542
8-Oct-13,50.10,50.82,49.70,50.40,899310
7-Oct-13,49.60,50.17,49.06,49.92,619620
4-Oct-13,48.20,50.20,48.07,49.78,585469
3-Oct-13,47.97,48.15,47.16,48.00,541904
2-Oct-13,47.06,47.89,46.66,47.79,528408
1-Oct-13,47.50,48.29,47.27,47.51,331052
30-Sep-13,47.14,47.78,46.78,47.31,353756
27-Sep-13,47.62,47.63,46.64,47.59,417992
26-Sep-13,47.99,48.49,47.34,47.72,633620
25-Sep-13,48.10,48.33,47.01,47.28,459036
24-Sep-13,48.57,48.98,48.06,48.13,329578
23-Sep-13,48.21,48.70,47.78,48.39,382609
20-Sep-13,48.72,48.75,48.11,48.19,566127
19-Sep-13,49.74,50.25,48.40,48.75,1458101
18-Sep-13,49.82,49.96,48.47,49.69,692356
17-Sep-13,48.55,50.02,48.49,49.82,655130
16-Sep-13,49.36,49.84,48.18,48.26,601174
13-Sep-13,50.44,50.67,48.79,48.84,684354
12-Sep-13,50.34,51.72,50.16,50.22,495867
11-Sep-13,49.10,50.98,49.01,50.17,430848
10-Sep-13,50.61,51.07,50.31,50.80,266285
9-Sep-13,50.10,50.71,50.08,50.55,180216
6-Sep-13,49.95,50.21,49.36,50.07,308129
5-Sep-13,48.94,50.03,48.92,49.70,444363
4-Sep-13,48.28,49.30,47.71,49.07,623789
3-Sep-13,49.46,49.47,47.95,48.10,787318
30-Aug-13,48.21,49.08,48.01,48.81,619477
29-Aug-13,50.25,50.25,47.94,48.01,3680478
28-Aug-13,54.00,54.85,53.26,54.28,689473
27-Aug-13,54.13,55.42,54.01,54.33,659572
26-Aug-13,55.41,56.04,54.83,55.02,234895
23-Aug-13,54.45,55.17,54.00,55.15,228680
22-Aug-13,54.35,54.80,54.00,54.25,147467
21-Aug-13,54.00,54.54,53.76,54.05,176178
20-Aug-13,54.02,54.59,53.94,54.00,213348
19-Aug-13,53.13,54.00,52.85,53.78,308239
16-Aug-13,53.18,53.79,52.81,53.08,231669
15-Aug-13,54.70,54.72,53.23,53.81,219398
14-Aug-13,56.53,56.94,55.00,55.38,172136
13-Aug-13,56.83,57.16,56.10,56.63,181560
12-Aug-13,56.63,56.85,55.98,56.73,269342
9-Aug-13,56.39,57.04,55.49,56.94,466185
8-Aug-13,54.21,56.76,53.82,56.27,581659
7-Aug-13,53.96,54.14,53.53,54.00,342957
6-Aug-13,53.83,54.17,52.71,54.13,236054
5-Aug-13,53.16,54.18,52.95,53.96,205997
2-Aug-13,53.96,54.03,52.63,53.04,235944
1-Aug-13,52.88,54.13,52.81,53.93,433015
31-Jul-13,52.94,53.27,52.32,52.78,330464
30-Jul-13,53.04,53.45,52.68,52.78,277092
29-Jul-13,52.50,53.21,52.50,53.07,204596
26-Jul-13,52.73,53.08,52.27,52.74,159654
25-Jul-13,52.32,53.09,52.22,52.97,344999
24-Jul-13,53.00,53.10,52.18,52.48,507013
23-Jul-13,54.57,54.85,52.78,52.97,407602
22-Jul-13,54.42,54.83,52.78,54.37,737897
19-Jul-13,54.40,54.73,54.07,54.54,338863
18-Jul-13,53.66,54.55,53.51,54.46,292285
17-Jul-13,54.37,54.83,53.25,53.39,239234
16-Jul-13,53.84,54.57,53.35,54.26,400044
15-Jul-13,53.60,54.13,52.93,54.01,334624
12-Jul-13,52.85,53.40,52.56,53.27,336566
11-Jul-13,53.40,53.46,52.70,52.82,477822
10-Jul-13,52.60,53.44,52.55,52.66,480703
9-Jul-13,51.51,53.40,51.36,52.50,602387
8-Jul-13,51.14,51.51,50.60,51.19,239448
5-Jul-13,51.07,51.69,49.85,51.06,327387
3-Jul-13,48.72,50.90,48.72,50.60,689259
2-Jul-13,48.69,49.46,48.02,48.91,657776
1-Jul-13,49.46,49.90,48.01,48.46,641961
28-Jun-13,50.67,50.99,49.53,49.72,1172532
27-Jun-13,51.57,52.40,50.73,50.84,478414
26-Jun-13,50.66,51.98,50.66,50.98,418689
25-Jun-13,50.26,50.68,49.45,50.34,391097
24-Jun-13,48.10,50.16,47.87,49.77,389018
21-Jun-13,49.45,49.80,48.42,48.61,1028355
20-Jun-13,51.62,51.92,49.24,49.28,731221
19-Jun-13,52.86,52.95,51.56,51.87,295192
18-Jun-13,52.85,53.44,52.24,52.74,291073
17-Jun-13,52.41,52.88,52.09,52.73,291102
14-Jun-13,52.27,52.97,51.84,51.95,367343
13-Jun-13,52.04,52.55,51.32,52.30,337108
12-Jun-13,52.79,52.79,51.70,52.20,343879
11-Jun-13,51.89,53.30,51.47,51.87,452771
10-Jun-13,52.48,52.87,51.91,52.08,390752
7-Jun-13,51.42,52.41,50.30,52.17,627344
6-Jun-13,50.45,50.78,49.99,50.24,546837
5-Jun-13,49.41,50.89,49.38,50.26,584262
4-Jun-13,49.61,49.80,48.64,49.07,422155
3-Jun-13,49.09,50.00,49.02,49.60,380546
31-May-13,50.51,50.68,49.49,49.54,518478
30-May-13,50.40,51.88,50.40,50.86,896283
29-May-13,50.15,54.70,48.22,50.29,4902308
28-May-13,46.71,47.33,46.07,46.36,538437
24-May-13,45.50,46.15,45.32,46.10,372562
23-May-13,46.27,46.27,45.09,45.74,614923
22-May-13,46.70,47.29,46.45,46.48,554441
21-May-13,46.79,47.16,46.48,46.69,423462
20-May-13,45.62,46.70,45.24,46.47,532867
17-May-13,45.24,45.99,44.99,45.56,410536
16-May-13,45.14,45.35,44.88,45.00,523279
15-May-13,45.08,45.42,44.80,45.11,460757
14-May-13,44.11,45.10,43.72,45.06,383535
13-May-13,43.00,44.21,42.85,44.17,553391
10-May-13,42.86,43.56,42.86,43.13,349136
9-May-13,44.50,44.94,42.99,43.05,442588
8-May-13,44.69,45.55,44.31,44.56,986789
7-May-13,42.88,43.36,42.58,42.98,381487
6-May-13,42.30,42.87,41.76,42.81,596397
3-May-13,41.05,42.56,40.85,42.28,664787
2-May-13,40.67,41.25,40.11,40.71,626720
1-May-13,40.80,41.07,40.54,40.75,451554
30-Apr-13,41.33,41.33,40.45,40.93,463268
29-Apr-13,40.77,41.40,40.35,41.24,392792
26-Apr-13,40.52,41.00,40.35,40.80,453245
25-Apr-13,40.74,40.86,40.08,40.55,610713
24-Apr-13,40.42,41.27,40.28,40.58,427426
23-Apr-13,40.90,41.34,40.61,40.83,384841
22-Apr-13,39.69,40.82,39.43,40.64,582158
19-Apr-13,39.46,39.79,38.95,39.58,422510
18-Apr-13,39.87,39.87,38.97,39.26,437239
17-Apr-13,40.28,40.50,39.32,39.72,392261
16-Apr-13,40.79,40.79,40.02,40.39,428833
15-Apr-13,41.21,41.21,40.05,40.46,500713
12-Apr-13,40.31,41.42,40.31,41.21,407202
11-Apr-13,39.89,40.77,39.82,40.61,809839
10-Apr-13,40.22,40.29,39.44,39.90,836043
9-Apr-13,40.35,40.69,40.10,40.18,240771
8-Apr-13,40.36,40.39,39.70,40.30,413493
5-Apr-13,40.23,40.51,39.70,40.39,512143
4-Apr-13,40.31,40.90,39.78,40.62,574740
3-Apr-13,40.98,41.25,39.90,40.03,595457
2-Apr-13,41.54,41.81,40.96,41.00,406618
1-Apr-13,42.68,43.48,41.23,41.38,391473
28-Mar-13,42.65,42.96,42.57,42.77,835846
