Date,Open,High,Low,Close,Volume
23-May-13,68.99,69.55,68.47,69.09,2362092
22-May-13,69.28,70.91,68.65,69.56,3147530
21-May-13,69.08,69.98,68.83,69.58,2384120
20-May-13,69.46,69.61,68.89,69.01,2331499
17-May-13,69.22,69.79,68.80,69.72,2747147
16-May-13,69.31,69.69,68.64,68.77,2436620
15-May-13,68.81,69.63,68.29,69.62,2366171
14-May-13,68.72,69.32,68.61,68.70,2152829
13-May-13,68.71,69.13,68.01,68.57,1951642
10-May-13,68.48,69.50,68.48,69.00,1825096
9-May-13,68.60,69.03,68.08,68.62,2598689
8-May-13,67.69,68.59,67.45,68.58,2942277
7-May-13,67.43,67.96,67.29,67.73,2113425
6-May-13,67.32,68.04,67.12,67.45,2258322
3-May-13,68.18,68.38,67.17,67.27,3247951
2-May-13,66.30,67.62,66.23,67.52,4107301
1-May-13,65.74,69.08,65.70,65.90,6591201
30-Apr-13,63.55,64.61,63.52,63.99,4946333
29-Apr-13,63.87,64.27,63.56,63.65,4293800
26-Apr-13,64.60,64.69,63.56,63.62,3371796
25-Apr-13,65.05,65.27,63.71,64.49,3755093
24-Apr-13,65.69,66.33,64.61,65.00,2910895
23-Apr-13,66.33,66.48,64.79,65.55,4947331
22-Apr-13,66.35,66.89,65.41,66.52,1600071
19-Apr-13,64.34,66.29,64.32,66.18,2094176
18-Apr-13,65.76,65.86,64.84,65.05,1878602
17-Apr-13,65.86,66.00,64.81,65.56,2846239
16-Apr-13,64.42,66.23,64.36,66.19,4038612
15-Apr-13,66.04,66.23,63.99,64.02,3078540
12-Apr-13,66.30,66.63,65.62,66.50,2029401
11-Apr-13,65.69,66.76,65.69,66.15,2784995
10-Apr-13,63.76,65.77,63.76,65.70,2259979
9-Apr-13,65.78,66.09,64.57,64.60,4605824
